State,LightGBM_R2,LightGBM_RMSE,Best_Model,Best_R2
ŚLĄSKIE,0.7772569355753168,6.266476785911388,LightGBM,0.7772569355753168
WARMIŃSKO-MAZURSKIE,0.858106616483636,3.1204153113231605,LightGBM,0.858106616483636
ŚWIĘTOKRZYSKIE,0.7611790598257249,4.444493683666463,LightGBM,0.7611790598257249
MAŁOPOLSKIE,0.774986560711562,6.969997758204241,LightGBM,0.774986560711562
PODLASKIE,0.7551887340505403,4.053838103419437,LightGBM,0.7551887340505403
ŁÓDZKIE,0.7462009511949519,7.304412992472578,LightGBM,0.7462009511949519
LUBELSKIE,0.7690239432883775,4.361413754212006,LightGBM,0.7690239432883775
DOLNOŚLĄSKIE,0.8127201044908657,5.423974089917065,LightGBM,0.8127201044908657
WIELKOPOLSKIE,0.5855757444360546,9.625643063901311,LightGBM,0.5855757444360546
ZACHODNIOPOMORSKIE,0.6105183797025613,6.339745807393484,LightGBM,0.6105183797025613
KUJAWSKO-POMORSKIE,0.8592735903101409,3.796544563459635,LightGBM,0.8592735903101409
PODKARPACKIE,0.5861557213159372,5.501569877865441,LightGBM,0.5861557213159372
MAZOWIECKIE,0.829771525029279,3.8547264031892636,LightGBM,0.829771525029279
POMORSKIE,0.8168531794846904,3.49228937805261,LightGBM,0.8168531794846904
LUBUSKIE,0.6456709327158265,6.972084954064798,LightGBM,0.6456709327158265
OPOLSKIE,0.7345755817421733,6.789110349943417,LightGBM,0.7345755817421733
